Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
kCNnrLLbx7qWRVQmsDmgCiACigrKho63VjFVPtubdv6bnUDgSukJqsbVcP7QJATxhopTMZbnBCgpoeSnw3zEDGQ,1761756626,2025-10-29T16:50:26.000Z,TRANSFER,G13e468e4NDEzRACj6uwLYDYqSciLtPELwA4EVs1z3FX,AQDfM99adwQ49Z1qY4oM5KuUPXCkCL25rP9G4aTvnf1C,99000000,in,99,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
5TdLf3j9fEu1M13jBmQZmkHy3uDYA32Rrgu6JfWCW82TXr5rYYAfngYP5XuygF8ipcPrCGBnFAY8NeVz5upMVDs8,1761752278,2025-10-29T15:37:58.000Z,TRANSFER,73opLCoympaPEpgWnK1cRmMuzzQUxmsJ7jhE6jfjbVHj,AQDfM99adwQ49Z1qY4oM5KuUPXCkCL25rP9G4aTvnf1C,99000000,in,99,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
3brPojpB1C7f9grPFc9s4EG9TqJjk3PbLoW1PkV1RnRM7kDTDJvrTmdLQ3M5iobqkPyLQ97mYLLDn6KWsuZbC584,1761744009,2025-10-29T13:20:09.000Z,TRANSFER,HFQPnGDA2DLJXuS4C1co6NQHNoYSLiHRPiVqaDJQfZmR,AQDfM99adwQ49Z1qY4oM5KuUPXCkCL25rP9G4aTvnf1C,99000000,in,99,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
2bJA1dLoZs12mvVxAKeCrqiRKUH7C5sT1A7SsysMNEvJwGq4LUxi1eF8vqsCRFK77wmdf9KvdruPShmMm9AoBqQ5,1761650869,2025-10-28T11:27:49.000Z,TRANSFER,5pi9KpxrBPsWy2jqoUukHwLE2nppcvemydqScL1wVkfQ,AQDfM99adwQ49Z1qY4oM5KuUPXCkCL25rP9G4aTvnf1C,99000000,in,99,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
52mYbPuV8bcTJZa8qEEE14gBGVcbXKRjifTUba3QupNQvHe84p7iEjWL3xhigbo6kc1w379dyopgwzmdGUMk3ywf,1761640613,2025-10-28T08:36:53.000Z,TRANSFER,GwNPZwzrsFEtva8K4HXqjwimtDAQD624fMSPQjzakQ9K,AQDfM99adwQ49Z1qY4oM5KuUPXCkCL25rP9G4aTvnf1C,99000000,in,99,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
2Ck8TSvbJdB7pNawxnaAo63ViFrHWBPiJFWhy8hzxU5c8zpq5xoi1BqpWSgbqVJVzkwoJ8qkLe6pHT5UzjDgNSKq,1761637193,2025-10-28T07:39:53.000Z,TRANSFER,C5t4PwQuUTVDYz2uUUS5vJ7wAQGUkyNjHktFbVMSpjhN,AQDfM99adwQ49Z1qY4oM5KuUPXCkCL25rP9G4aTvnf1C,99000000,in,99,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
3jxr6F69q2GGPS5kTn7GdnoF4f5h6Prz1UdUHZ8mDnZiVxiPzXCa8DVMMGgMSnF7yZsD7rbYvoCpYzK5u9LAySdp,1761558440,2025-10-27T09:47:20.000Z,TRANSFER,pF4o2sx5P7EsVjWGYticbsVG68xfzoUjnvDmLr1xwuR,AQDfM99adwQ49Z1qY4oM5KuUPXCkCL25rP9G4aTvnf1C,99000000,in,99,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
5jca4czbRP1UckM2QM8EX9dNbWWycsKFtnicgEt5A3qyUzb3AcnQ6pM16ebfTBnYFwjFjshu2G9r7akCkoduB5mj,1761558425,2025-10-27T09:47:05.000Z,TRANSFER,7FcbbvD65kL9DGqhqjV4hWVe9NXheeLYJCmVDtewj492,AQDfM99adwQ49Z1qY4oM5KuUPXCkCL25rP9G4aTvnf1C,99000000,in,99,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
5vEP2PMyYtn6bjvTEradqxFKFYF75gAf752SkU9NHiZ1Cy43sCLR4prqbALHwx4xTxKznYR3vELYviqwUPo8sWzF,1761558412,2025-10-27T09:46:52.000Z,TRANSFER,8wjDSaai1SQyPD93tfmzSrbHW33ViMuXi2vWD1WeaehW,AQDfM99adwQ49Z1qY4oM5KuUPXCkCL25rP9G4aTvnf1C,99000000,in,99,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
3e7KXe6JH3xdWHnxk5sip7mMbtUKLdR1YJ5QwAfeXsg9KiEcPyykKpDpujEKYmeQcYHfuuQrZAwr9jnKz4RqsrmZ,1761558403,2025-10-27T09:46:43.000Z,TRANSFER,9WKVfwhEHsGW9C2Xdw2EHhrxN7Wdsg3EHNoQncA2YfqC,AQDfM99adwQ49Z1qY4oM5KuUPXCkCL25rP9G4aTvnf1C,99000000,in,99,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
